"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,NA,1
1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1
1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,NA,0
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1
0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0
1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
1,1,0,NA,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1
1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,0,1,1,NA,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1
0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
