model,quantile,region,scenario,unit,variable,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE,0.005,World,ssp370,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.4957297,405.1568684,407.9199282,410.7793245,413.7321586,416.7770855,419.8721506,423.0215369,426.2289408,429.498289,432.8327376,436.2319705,439.6952098,443.220976,446.8093493,450.4600899,454.1441094,457.8644997,461.6221326,465.4184793,469.2587619,473.1460159,477.0841952,481.0737042,485.1156838,489.2101463,493.3407329,497.506973,501.7083555,505.9454496,510.2167094,514.5149085,518.8440004,523.2084018,527.6124972,532.0577223,536.5327224,541.0364471,545.5683458,550.127618,554.7140738,559.3290707,563.9769931,568.6607951,573.3820795,578.1433387,582.9429252,587.7800135,592.6532142,597.5619052,602.5060461,607.4851397,612.5007259,617.5563149,622.6561576,627.8026825,632.9953845,638.2328302,643.5134053,648.8364485,654.2014472,659.6082906,665.0569464,670.5470819,676.0798557,681.6577267,687.297154,692.9991864,698.765232,704.5947626,710.4877751,716.4429057,722.4580874,728.5319916,734.6637603,740.8530581,747.1083096,753.4322095,759.8302236,766.305972,772.8596862,779.487977,786.190381,792.9623067,799.8022556
AIM/CGE,0.005,World,ssp370-lowNTCF-aerchemmip,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.4809065,405.1277267,407.8763885,410.7223186,413.6630282,416.6973035,419.783198,422.9252482,426.1275399,429.3942197,432.7286242,436.1305087,439.5992253,443.1333941,446.7332169,450.3985249,454.1005105,457.842345,461.6250805,465.4504297,469.323755,473.2483021,477.228194,481.2639967,485.3569227,489.506905,493.6975142,497.9287011,502.2004359,506.513628,510.8692814,515.260594,519.6895116,524.1609375,528.6792855,533.2472182,537.8551315,542.5006745,547.1814568,551.8952568,556.6408654,561.4188702,566.2329802,571.0857597,575.9785112,580.9133535,585.8884877,590.903021,595.9554191,601.044869,606.1712081,611.3338246,616.5340976,621.775473,627.0624902,632.3973891,637.7794999,643.2075603,648.6798278,654.1955215,659.7541272,665.3554937,670.9995511,676.6857757,682.4151997,688.190449,694.0280826,699.9294922,705.8963565,711.9277364,718.0235973,724.1825684,730.4020972,736.6821219,743.0201474,749.4162512,755.8796445,762.4129483,769.0215941,775.7092497,782.4755129,789.319098,796.2365515,803.2253076,810.282833
AIM/CGE,0.005,World,ssp370-lowNTCF-gidden,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.47937,405.12566,407.87458,410.72149,413.66385,416.70036,419.78986,422.93664,426.14451,429.41719,432.75734,436.16399,439.63561,443.16983,446.766,450.42296,454.11422,457.84167,461.60539,465.40616,469.24865,473.13569,477.07107,481.05505,485.08864,489.1717,493.28562,497.43049,501.60616,505.81358,510.04679,514.30363,518.58846,522.90628,527.26183,531.65807,536.09183,540.56039,545.06155,549.59305,554.15375,558.74453,563.36957,568.03155,572.73191,577.47322,582.2535,587.07193,591.92715,596.81864,601.74649,606.71014,611.71123,616.75334,621.8409,626.97645,632.16039,637.39111,642.66694,647.98727,653.35169,658.76025,664.21294,669.70959,675.25138,680.84096,686.4842,692.183,697.93917,703.75265,709.62368,715.55119,721.53333,727.56896,733.65766,739.79849,746.00166,752.26749,758.60332,765.01121,771.49096,778.04179,784.66059,791.34493,798.09318
GCAM4,0.005,World,ssp434,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.479189,404.9836026,407.464298,409.9215124,412.358907,414.7800376,417.1320882,419.4240742,421.6624307,423.8535845,426.0021998,428.1098689,430.176773,432.2021717,434.1862929,436.1296655,438.007138,439.821439,441.5728078,443.2629529,444.8965773,446.4766825,448.00648,449.486821,450.908183,452.2696787,453.5560247,454.7680705,455.906104,456.971394,457.9647596,458.8898705,459.7503076,460.5503254,461.2933863,461.9813626,462.6510749,463.2967415,463.9156783,464.505292,465.0636892,465.5908672,466.0894451,466.561265,467.0067586,467.4275061,467.830519,468.2133867,468.5734871,468.9090364,469.2188025,469.5017427,469.7585958,469.9917819,470.2039932,470.3966729,470.5330519,470.6143595,470.6393727,470.6088184,470.5228543,470.3819381,470.1860381,469.9356622,469.6321095,469.2773896,468.842193,468.3316703,467.7483427,467.0933011,466.367344,465.5707806,464.7028382,463.7636435,462.7531338,461.6726279,460.5347945,459.3409054,458.0942221,456.7970371,455.4484222,454.046765,452.5895721,451.0759784,449.5050304
GCAM4,0.005,World,ssp460,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.479189,404.9836026,407.464298,409.9215124,412.358907,414.7802678,417.2650897,419.8078169,422.4107146,425.0746879,427.8008919,430.5873795,433.4320622,436.3322406,439.2870642,442.2954432,445.3187473,448.3602479,451.4202971,454.5002172,457.6048189,460.7368173,463.8995857,467.0931891,470.3182887,473.5742555,476.8183611,480.0486177,483.265165,486.4694181,489.6624561,492.8477705,496.0289846,499.2104917,502.3961464,505.587233,508.7648033,511.9280757,515.0761571,518.2083554,521.3243388,524.4253567,527.5154881,530.597416,533.6724435,536.7427215,539.7900124,542.8146367,545.815303,548.7916577,551.7436087,554.6707354,557.574587,560.4584933,563.3262261,566.1799389,568.9614943,571.6734526,574.3151214,576.8878775,579.3924281,581.8296,584.1996114,586.5031209,588.7415973,590.917999,593.0293069,595.0781545,597.0659433,598.9922539,600.8568346,602.6588019,604.3962307,606.0681458,607.6735521,609.2128481,610.6892812,612.1048428,613.4634932,614.7680783,616.017729,617.2104234,618.3428867,619.4133023,620.4197934
IMAGE,0.005,World,ssp119,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.4473734,404.9365312,407.4148128,409.8836869,412.3465951,414.8065838,417.0437395,419.0852274,420.9420635,422.627053,424.1491912,425.5143617,426.7262156,427.7870809,428.6995358,429.4688489,430.1548578,430.7513912,431.2545149,431.6620038,431.9757035,432.1965131,432.3258808,432.3637354,432.3100841,432.1643241,431.973302,431.7308934,431.4349041,431.0836799,430.6758183,430.213167,429.6977364,429.1323881,428.5193639,427.8578531,427.2016399,426.542162,425.8755855,425.1981536,424.5071936,423.802054,423.0846359,422.3560517,421.6161444,420.865715,420.1116456,419.351347,418.5824879,417.803507,417.0133737,416.2111374,415.3975284,414.574778,413.7451895,412.9097463,412.0692805,411.2215525,410.3646113,409.4978057,408.6203845,407.7320757,406.8322986,405.9207928,404.9982382,404.0662269,403.1213304,402.1649115,401.197442,400.2181022,399.2264123,398.2213111,397.2011675,396.1653694,395.1133959,394.0455061,392.9625506,391.8662607,390.7596996,389.6446403,388.5200046,387.384172,386.2349213,385.07124,383.8921768
IMAGE,0.005,World,ssp126,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.44635,404.93726,407.41976,409.89517,412.36671,414.83766,417.231,419.55752,421.82346,424.03553,426.19858,428.31457,430.38419,432.40726,434.38458,436.31811,438.17114,439.94687,441.64477,443.26645,444.81653,446.29798,447.71393,449.06526,450.35276,451.57652,452.73134,453.80858,454.80389,455.71766,456.54997,457.30403,457.98308,458.59117,459.13165,459.6064,460.02744,460.39121,460.69562,460.93921,461.121,461.24178,461.30478,461.31252,461.266,461.16717,461.03321,460.86158,460.65015,460.39741,460.10233,459.76413,459.38376,458.96387,458.50721,458.01547,457.46737,456.86304,456.20113,455.48218,454.70625,453.87377,452.98464,452.0394,451.03938,449.987,448.91767,447.82984,446.7236,445.59717,444.44945,443.27888,442.08336,440.86189,439.6136,438.33857,437.09833,435.88859,434.71113,433.56546,432.44861,431.35723,430.28751,429.23686,428.20293
MESSAGE-GLOBIOM,0.005,World,ssp245,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.46051,404.98572,407.52117,410.06667,412.62443,415.19758,417.78599,420.3909,423.015,425.66106,428.33129,431.02498,433.74081,436.47683,439.23257,442.00733,444.7756,447.54032,450.30249,453.06381,455.82933,458.60204,461.38541,464.17985,466.98599,469.80346,472.61157,475.41025,478.19903,480.9785,483.74892,486.50209,489.24122,491.97048,494.69356,497.41183,500.09263,502.73602,505.34086,507.9065,510.43253,512.92018,515.37343,517.79504,520.18629,522.54944,524.86378,527.13011,529.34724,531.51489,533.63305,535.70162,537.72225,539.69842,541.63388,543.53118,545.3483,547.08671,548.74528,550.32507,551.82651,553.25034,554.59665,555.86609,557.06015,558.18145,559.20653,560.13979,560.98346,561.73815,562.40439,562.98222,563.47044,563.86881,564.17689,564.39585,564.57655,564.71765,564.82209,564.89138,564.9237,564.91636,564.86569,564.76959,564.62595
REMIND-MAGPIE,0.005,World,ssp534-over,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.4573686,405.0546289,407.7288625,410.4782669,413.3028838,416.2042818,419.2132683,422.3269596,425.5466614,428.8730486,432.3069969,435.8460708,439.4880618,443.2303305,447.0722576,451.0133042,455.0771229,459.2609254,463.563563,467.9837478,472.5249016,477.1889295,481.9792043,486.895362,491.9381956,497.1066089,502.002506,506.6599501,511.0887554,515.3021449,519.3086832,523.1152177,526.7208794,530.1344436,533.3622478,536.4099148,539.0890652,541.4127627,543.3824183,545.0036106,546.2802083,547.2174808,547.8221705,548.1019102,548.0614442,547.7065656,547.1813189,546.4767781,545.5898933,544.5174132,543.2570183,541.8084405,540.173212,538.3552189,536.3583903,534.1872361,532.0079875,529.8066164,527.5776974,525.3164253,523.0189058,520.6824859,518.304583,515.8838162,513.420044,510.9146978,508.4364415,505.9804805,503.5453181,501.1273268,498.7238269,496.3318069,493.9478829,491.569792,489.1955131,486.8241762,484.4807734,482.1638697,479.875439,477.6157782,475.3822318,473.1715498,470.9798615,468.8045937,466.6433752
REMIND-MAGPIE,0.005,World,ssp585,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.4573686,405.0546191,407.7288425,410.4782269,413.302814,416.2041916,419.2131181,422.3266996,425.5462712,428.8724985,432.3062469,435.8451008,439.4868518,443.2288405,447.0704676,451.0111942,455.0747627,459.2583654,463.560863,467.9809678,472.5220916,477.1861395,481.9764743,486.8927518,491.9357355,497.105188,502.4130513,507.8565173,513.4349775,519.1486907,524.9984691,530.9786741,537.0856723,543.3243495,549.6994989,556.2127543,562.8943434,569.7397302,576.7470409,583.9133316,591.2371008,598.7186793,606.3625185,614.1709933,622.1456633,630.2891837,638.5954627,647.0641735,655.6946994,664.4873856,673.4429195,682.5626123,691.847285,701.3009244,710.9305249,720.7397698,730.6845408,740.7668097,750.9883312,761.3496534,771.8525366,782.4980248,793.2886666,804.2230098,815.3038221,826.5387804,837.8052199,849.0476529,860.330431,871.6273287,882.96576,894.3384647,905.7252571,917.1586125,928.6376829,940.1430065,951.5969743,963.0548177,974.463567,985.9026491,997.3265379,1008.717038,1020.10614,1031.49835,1042.850108
