statement_idx,report,page_num,sent_num,statement,confidence,score,split,few_shots_3,prediction,correct
3,AR6_WGI,24,2,"Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years",very high,3,test,"[{'input': 'Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'The Human Perturbation of the Carbon and Biogeochemical Cycles Global mean concentrations for well-mixed GHGs (CO 2, CH 4 and N 2O) in 2019 correspond to increases of about 47%, 156%, and 23%, respectively, above the levels in 1750 (representative of the pre-industrial era)', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'These changes are larger than those between glacial and interglacial periods over the last 800,000 years for CO 2 and CH 4 and of comparable magnitude for N 2O', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}]",very high,True
42,AR6_WGI,37,16,"Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia",low,0,test,"[{'input': 'The increase in global ocean heat content (Section TS.2.4) will likely continue until at least 2300 even for low emissions scenarios, and global mean sea level will continue to rise for centuries to millennia following cessation of emissions (Box TS.4) due to continuing deep ocean heat uptake and mass loss of the Greenland and Antarctic ice sheets', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: likely 5–10 m higher than today around 125,000 years ago, when global temperatures were very likely 0.5°C–1.5°C higher than 1850–1900; and very likely 5–25 m higher roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Together, ice-sheet and glacier mass loss were the dominant contributors to global mean sea level rise during 2006–2018', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",medium,False
77,AR6_WGI,47,7,"By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios",high,2,test,"[{'input': 'Limiting global average warming has been found to reduce climate risks (IPCC, 2018a; IPCC, 2019b), and limiting global average warming to any temperature level has also been found to be associated with broad ranges of potential global emissions pathways that represent future uncertainty in the evolution of socioeconomic, technological, market and physical systems', 'label': 'very high', 'score': 3, 'report': 'AR6_WGII'}, {'input': 'Relative to 1995–2014, the likely global mean sea level rise by 2100 is 0.28–0.55 m under the very low GHG emissions scenario (SSP1-1.9); 0.32–0.62 m under the low GHG emissions scenario (SSP1-2.6); 0.44–0.76 m under the intermediate GHG emissions scenario (SSP2-4.5); and 0.63–1.01 m under the very high GHG emissions scenario (SSP5-8.5); and by 2150 is 0.37–0.86 m under the very low scenario (SSP1-1.9); 0.46–0.99 m under the low scenario (SSP1-2.6); 0.66–1.33 m under the intermediate scenario (SSP2-4.5); and 0.98–1.88 m under the very high scenario (SSP5-8.5) (medium confidence).35 Global mean sea level rise above the likely range – approaching 2 m by 2100 and 5 m by 2150 under a very high GHG emissions scenario (SSP5-8.5)', 'label': 'low', 'score': 0, 'report': 'AR6_WGI'}, {'input': 'Relative to 1995–2014, the likely global mean sea level rise by 2100 is 0.28–0.55 m under the very low GHG emissions scenario (SSP1-1.9); 0.32–0.62 m under the low GHG emissions scenario (SSP1-2.6); 0.44–0.76 m under the intermediate GHG emissions scenario (SSP2-4.5); and 0.63–1.01 m under the very high GHG emissions scenario (SSP5-8.5); and by 2150 is 0.37–0.86 m under the very low scenario (SSP1- 1.9); 0.46–0.99 m under the low scenario (SSP1-2.6); 0.66–1.33 m under the intermediate scenario (SSP2- 4.5); and 0.98–1.88 m under the very high scenario (SSP5-8.5)', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",high,True
81,AR6_WGI,62,2,"Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions",medium,1,test,"[{'input': 'Before the year 1300, larger disagreements between models and temperature reconstructions are expected because forcing and temperature reconstructions are increasingly uncertain further back in time, but specific causes have not been identified conclusively (Ljungqvist et al., 2019; PAGES 2k Consortium, 2019)', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: likely 5–10 m higher than today around 125,000 years ago, when global temperatures were very likely 0.5°C–1.5°C higher than 1850–1900; and very likely 5–25 m higher roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Under these contrasting scenarios, discernible differences in trends of global surface temperature would begin to emerge from natural variability within around 20 years, and over longer time periods for many other climatic impact-drivers', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,False
86,AR6_WGI,63,8,"The paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment, essentially irreversible on human time scales",high,2,test,"[{'input': 'Section 3.5.1.3 assessed that it is extremely likely that human influence was the main driver of the ocean heat content increase observed since the 1970s, which extends into the deeper ocean', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'It is extremely likely that human influence was the main driver of the ocean heat content increase observed since the 1970s, which extends into the deeper ocean', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'Since 1971, it is virtually certain that global ocean heat content has increased for the upper (0–700 m) layer, very likely for the intermediate (700–2000 m) layer and likely below 2000 m, and is currently increasing faster than at any point since at least the last deglacial transition (18 to 11 thousand years ago)', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",high,True
98,AR6_WGI,65,30,"These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks",medium,1,test,"[{'input': 'These higher ECS and TCR values can, in some models, be traced to changes in extra-tropical cloud feedbacks that have emerged from efforts to reduce biases in these clouds compared to satellite observations', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'The high ECS and TCR values can in some CMIP6 models be traced to improved representation of extratropical cloud feedbacks', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Because a negative cloud optical depth feedback in response to surface warming results from ‘brightening’ of clouds via active phase change from ice to liquid cloud particles (increasing their shortwave cloud radiative effect), the extratropical cloud shortwave feedback in CMIP6 models tends to be less negative, leading to a better agreement with observational estimates', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,True
151,AR6_WGI,85,31,Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980,low,0,test,"[{'input': 'Increased use of nitrogen fertilizer and manure contributed to about two-thirds of the increase during the 1980–2016 period, with the fossil fuels/industry, biomass burning, and wastewater accounting for much of the rest', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The centennial rate of change of CO 2 since 1850 has no precedent in at least the past 800,000 years (Figure TS.9), and the fastest rates of change over the last 56 million years were at least a factor of four lower', 'label': 'low', 'score': 0, 'report': 'AR6_WGI'}, {'input': 'Average annual GHG emissions growth during 2010–2019 slowed compared to the previous decade in energy supply (from 2.3% to 1.0%) and industry (from 3.4% to 1.4%, direct emissions only), but remained roughly constant at about 2% yr –1 in the transport sector', 'label': 'high', 'score': 2, 'report': 'AR6_WGIII'}]",medium,False
157,AR6_WGI,87,27,Projected changes in the intensity depend on the resolution of climate models,medium,1,test,"[{'input': 'In summary, the ability of climate models to simulate the climate over the region has improved in many key respects with the application of increased model resolution and a better representation of the land surface processes of particular importance in these advances', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Four sets of downscaling simulations based on the Eta Regional Climate Model forced by two global climate models (Chou et al., 2014) projected warmer conditions (more than 1°C) for the entire sub-region by 2050 under the RCP4.5 scenario', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Increasing horizontal resolution in global climate models improves the representation of small-scale features and the statistics of daily precipitation', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",medium,True
162,AR6_WGI,90,4,"A long-term increase in surface open ocean pH occurred over the past 50 million years, and surface ocean pH as low as recent times is uncommon in the last 2 million years",medium,1,test,"[{'input': 'The surface open ocean pH has declined globally over the last 40 years by 0.003–0.026 pH per decade (virtually certain), and a decline in the ocean interior pH has been observed in all ocean basins over the past two to three decades', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'To conclude, it is virtually certain that surface open ocean pH has declined globally over the last 40 years by 0.003–0.026 pH per decade, and a decline in the ocean interior has been observed in all ocean basins over the past 2–3 decades', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",high,False
165,AR6_WGI,90,14,"Ocean warming is irreversible over centuries to millennia, but the magnitude of warming is scenario-dependent from about the mid-21st century",medium,1,test,"[{'input': 'Over the past four to six decades, it is virtually certain that the global ocean has warmed, with human influence extremely likely the main driver since the 1970s, making climate change irreversible over centuries to millennia', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Even if climate warming is stabilised at 2°C to 2.5°C GWL, coastlines will continue to reshape over millennia, affecting at least 25 megacities and drowning low-lying areas where 0.6–1.3 billion people lived in 2010', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Some habitat-forming coastal ecosystems, including many coral reefs, kelp forests and seagrass meadows, will undergo irreversible phase shifts due to marine heatwaves with global warming levels >1.5°C and are at high risk this century even in <1.5°C scenarios that include periods of temperature overshoot beyond 1.5°C', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,False
