,Location_name,Location_id,Latitude,Longitude
0,BREST,1,48.38,-4.49
1,SWINOUJSCIE,2,53.92,14.23
2,SHEERNESS,3,51.45,0.74
3,HOLYHEAD,5,53.31,-4.62
4,CUXHAVEN_2,7,53.87,8.72
5,WISMAR_2,8,53.9,11.46
6,MAASSLUIS,9,51.92,4.25
7,SAN_FRANCISCO,10,37.81,-122.47
8,WARNEMUNDE_2,11,54.17,12.1
9,NEW_YORK,12,40.7,-74.01
10,TRAVEMUNDE,13,53.96,10.87
11,HELSINKI,14,60.15,24.96
12,LIVERPOOL_GEORGES_AND_PRINCES_PIERS,15,53.4,-3.0
13,LYOKKI,16,60.85,21.18
14,LYPYRTTI,17,60.6,21.23
15,JUNGFRUSUND,18,59.95,22.37
16,VLISSINGEN,20,51.44,3.6
17,ABERDEEN_II,21,57.15,-2.08
18,HOEK_VAN_HOLLAND,22,51.98,4.12
19,DEN_HELDER,23,52.96,4.75
20,DELFZIJL,24,53.33,6.93
21,HARLINGEN,25,53.18,5.41
22,LIEPAJA,26,56.53,20.98
23,UTO,27,59.78,21.37
24,RUSSARO,28,59.77,22.95
25,SODERSKAR,29,60.12,25.42
26,RONNSKAR,30,63.07,20.8
27,NEDRE_SODERTALJE,31,59.2,17.62
28,IJMUIDEN,32,52.46,4.55
29,OSCARSBORG,33,59.68,10.6
30,TRONDHEIM,34,63.43,10.43
31,DAUGAVGRIVA,37,57.05,24.03
32,VENEZIA,39,45.42,12.33
33,POTI,41,42.17,41.68
34,SEVASTOPOL,42,44.62,33.53
35,MUMBAI,43,18.92,72.83
36,ADEN,44,12.79,44.97
37,KABELVAG,45,68.21,14.48
38,STAVANGER,47,58.97,5.73
39,KIDDERPORE,48,22.53,88.33
40,BATUMI,51,41.63,41.7
41,CASCAIS,52,38.68,-9.42
42,VAASA,57,63.08,21.57
43,BERGEN,58,60.4,5.32
44,GENOVA,59,44.4,8.9
45,MARSEILLE,61,43.28,5.35
46,OSLO,62,59.91,10.73
47,KOBBAKLINTAR,63,60.03,19.88
48,GDANSK/NOWY_PORT,64,54.4,18.68
49,SYDNEY,65,-33.85,151.23
50,LANDSORT,68,58.74,17.87
51,OLANDS_NORRA_UDDE,69,57.37,17.1
52,KUNGSHOLMSFORT,70,56.11,15.59
53,HANKO,71,59.82,22.98
54,YSTAD,72,55.42,13.82
55,VARBERG,73,57.1,12.22
56,AARHUS,76,56.15,10.22
57,GRONSKAR,77,59.28,19.03
58,STOCKHOLM,78,59.32,18.08
59,OULU,79,65.04,25.42
60,ESBJERG,80,55.46,8.44
61,FREDERICIA,81,55.56,9.75
62,KOBENHAVN,82,55.7,12.6
63,VYBORG,83,60.7,28.73
64,LEMSTROM,84,60.1,20.02
65,YKSPIHLAJA,86,63.83,23.03
66,VENEZIA,87,45.42,12.35
67,RATAN,88,63.99,20.89
68,HIRTSHALS,89,57.6,9.96
69,BJORN,90,60.63,17.97
70,FREDERIKSHAVN,91,57.44,10.55
71,TONOURA,94,34.9,132.07
72,NORTH_SHIELDS,95,55.01,-1.44
73,HALIFAX,96,44.67,-63.58
74,BACKEVIK,97,58.37,11.25
75,SLIPSHAVN,98,55.29,10.83
76,NEDRE_GAVLE,99,60.68,17.17
77,CAGLIARI,104,39.2,9.17
78,NAPOLI,105,40.84,14.26
79,CIVITAVECCHIA,106,42.05,11.82
80,PALERMO,107,38.13,13.33
81,PORTO_MAURIZIO,108,43.87,8.02
82,FREMANTLE,111,-32.06,115.74
83,FERNANDINA_BEACH,112,30.67,-81.47
84,KORSOR,113,55.33,11.14
85,KLAIPEDA,118,55.7,21.13
86,HORNBAEK,119,56.09,12.46
87,GEDSER,120,54.57,11.93
88,DRAGHALLAN,122,62.37,17.53
89,TROIS-RIVIERES,126,46.33,-72.55
90,SEATTLE,127,47.6,-122.34
91,NAPOLI,129,40.87,14.27
92,ABURATSUBO,130,35.16,139.62
93,AYUKAWA,131,38.3,141.51
94,WAJIMA,132,37.41,136.9
95,HOSOJIMA,133,32.43,131.67
96,KUSHIMOTO,134,33.48,135.77
97,PHILADELPHIA,135,39.93,-75.14
98,PORT-SAINT-FRANCOIS,137,46.27,-72.62
99,POINTE-AU-PERE,138,48.52,-68.47
100,HANASAKI,139,43.28,145.58
101,STROMSTAD,140,58.95,11.18
102,SKURU,142,60.1,23.55
103,BATISCAN,144,46.5,-72.25
104,MANILA,145,14.58,120.97
105,HEL,146,54.6,18.8
106,BALTIMORE,148,39.27,-76.58
107,AUCKLAND_II,150,-36.84,174.77
108,TRIESTE,154,45.65,13.76
109,HONOLULU,155,21.31,-157.87
110,BUENOS_AIRES,157,-34.6,-58.37
111,SAN_DIEGO,158,32.71,-117.17
112,OSHORO_I,159,43.22,140.87
113,GALVESTON_II,161,29.31,-94.79
114,LAGOS,162,37.1,-8.67
115,BALBOA,163,8.97,-79.57
116,KOTKA,164,60.45,26.95
117,TOFINO,165,49.15,-125.92
118,VICTORIA,166,48.42,-123.37
119,PRINCE_RUPERT,167,54.32,-130.33
120,VENEZIA,168,45.43,12.33
121,CRISTOBAL,169,9.35,-79.92
122,MANTYLUOTO,172,61.59,21.46
123,QUEBEC,173,46.83,-71.17
124,KO_LAK,174,11.8,99.82
125,VANCOUVER,175,49.28,-123.12
126,HARRINGTON_HBR,176,50.5,-59.48
127,SMOGEN,179,58.35,11.22
128,ATLANTIC_CITY,180,39.35,-74.42
129,PORTLAND ,183,43.66,-70.25
130,KEY_WEST,188,24.55,-81.81
131,PORT_HEDLAND,189,-20.32,118.57
132,DUNBAR,190,56.01,-2.52
133,NEUVILLE,192,46.7,-71.57
134,POINT_ATKINSON,193,49.33,-123.25
135,PIETARSAARI ,194,63.71,22.69
136,SAINT_JOHN,195,45.27,-66.07
137,SYDNEY,196,-33.85,151.23
138,DESCHAILLONS,201,46.57,-72.1
139,NEWLYN,202,50.1,-5.54
140,FURUOGRUND,203,64.92,21.23
141,KARACHI,204,24.81,66.97
142,CHENNAI,205,13.1,80.3
143,ALICANTE,208,38.34,-0.48
144,CADIZ_II,209,36.53,-6.31
145,RANGOON,210,16.77,96.17
146,BLUFF,213,-46.6,168.35
147,FELIXSTOWE,214,51.96,1.35
148,TUAPSE,215,44.1,39.07
149,PORT_PIRIE,216,-33.18,138.01
150,AUCKLAND-WAITEMATA_HARBOUR,217,-36.84,174.77
151,BELFAST_2,219,54.6,-5.92
152,WELLINGTON_HARBOUR,221,-41.28,174.78
153,QUEQUEN,223,-38.58,-58.7
154,LEWES,224,38.78,-75.12
155,KETCHIKAN,225,55.33,-131.62
156,SAPPI,226,61.48,21.33
157,SUR_SARI,227,60.08,26.98
158,KEMI,229,65.67,24.52
159,PORT_LINCOLN,230,-34.72,135.87
160,HELIGMAN,231,60.2,19.3
161,CHARLESTON_I,234,32.78,-79.92
162,BOSTON,235,42.35,-71.05
163,WEST-TERSCHELLING,236,53.36,5.22
164,PRIMORSK,237,60.35,28.62
165,TVARMINNE,238,59.85,23.25
166,TURKU,239,60.43,22.1
167,RAAHE,240,64.67,24.41
168,LOS_ANGELES,245,33.72,-118.27
169,PENSACOLA,246,30.4,-87.21
170,PORT_LYTTELTON,247,-43.61,172.72
171,JOHOR_BAHRU,248,1.46,103.79
172,FOGLO,249,60.03,20.38
173,PORT_SAID,253,31.25,32.3
174,DOVER,255,51.11,1.32
175,LA_JOLLA,256,32.87,-117.26
176,PONTA_DELGADA,258,37.74,-25.67
177,LYTTELTON_II,259,-43.61,172.72
178,JOLO,260,6.07,121.0
179,ASTORIA,265,46.21,-123.77
180,SEWARD,266,60.12,-149.43
181,NEWCASTLE_III,267,-32.92,151.8
182,MACAU,269,22.2,113.55
183,DAYTONA_BEACH,270,29.23,-81.0
184,MOMMARK,271,54.93,10.07
185,DURBAN,284,-29.87,31.05
186,KASKINEN,285,62.34,21.21
187,IMMINGHAM,286,53.63,-0.19
188,SEAVEY_ISLAND,288,43.08,-70.74
189,PIONERSKY,289,54.95,20.22
190,SEWELLS_POINT,299,36.95,-76.33
191,HILO,300,19.73,-155.06
192,TREGDE,302,58.01,7.55
193,SANTA_CRUZ_DE_TENERIFE_I,303,28.48,-16.24
194,YAMBA,310,-29.43,153.36
195,ANNAPOLIS,311,38.98,-76.48
196,NARVIK,312,68.43,17.43
197,HEIMSJO,313,63.43,9.1
198,STORNOWAY,314,58.21,-6.39
199,HAMINA,315,60.56,27.18
200,MAYPORT,316,30.39,-81.43
201,BOURGAS,317,42.48,27.48
202,VARNA,318,43.18,27.92
203,NEWCASTLE_I,320,-32.92,151.8
204,KLAGSHAMN,330,55.52,12.89
205,TAKORADI,331,4.88,-1.75
206,EASTPORT,332,44.9,-66.98
207,NORTH_POINT,333,22.3,114.2
208,SOUTHEND,334,51.51,0.72
209,TILBURY,335,51.47,0.37
210,TOWER_PIER,336,51.5,0.08
211,PORTSMOUTH,350,50.8,-1.11
212,NEWPORT,351,41.51,-71.33
213,SPLIT - GRADSKA_LUKA,352,43.51,16.44
214,BAKAR,353,45.3,14.53
215,MERA,359,34.92,139.82
216,WASHINGTON_DC,360,38.87,-77.02
217,ABERDEEN_I,361,57.14,-2.08
218,WILLETS_POINT,362,40.79,-73.78
219,MIAMI_BEACH,363,25.77,-80.13
220,SANDY_HOOK,366,40.47,-74.01
221,WOODS_HOLE,367,41.52,-70.67
